,High,Phat_High_upper,Phat_High_lower,Low,Phat_Low_upper,Phat_Low_lower,Close,Order_Placed,Order_Price_Short,Order_Price_Long,Order_Success_Short,Order_Success_Long,Trade_Price_Short,Trade_Price_Long,Transaction,Cash,Position,Balance
2016-04-12,35.672080417620094,36.84595041991614,34.968559118846876,35.44044412469966,36.34820216634476,34.44863682787268,35.47904968261719,False,34.5921158590172,35.65804655447139,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-13,37.13910756722415,36.57641661527427,34.79666857532239,36.05813735435778,36.341892616047154,34.52986956780335,37.100502014160156,False,34.968559118846876,36.34820216634476,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-14,38.220091683524,38.39589029790706,35.84288692291726,37.756819023102125,37.081007701383506,35.14936477265239,37.83403015136719,False,34.79666857532239,36.341892616047154,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-15,38.142872626967204,39.843465990886074,36.97363951861767,37.91123339948853,39.32965543145768,36.47486939217992,38.06565856933594,False,35.84288692291726,37.081007701383506,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-18,37.91123828358664,39.51764394295126,36.78517446525031,37.370754537613,39.22357444013415,36.526477109475906,37.7954216003418,False,36.97363951861767,39.32965543145768,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-19,39.22383962268196,39.232064870202294,36.67220338292657,38.22008052130638,38.62974591908352,36.045599341046966,39.18523406982422,False,36.78517446525031,39.22357444013415,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-20,39.26244681504723,40.75346230268167,37.740767413806104,38.683354661755,39.71538279190242,36.95802012477246,39.10802459716797,False,36.67220338292657,38.62974591908352,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-21,40.84530258178711,40.84948098322598,38.017348174348896,39.880148956937845,40.04429187128309,37.37042849461427,40.84530258178711,False,37.740767413806104,39.71538279190242,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-22,40.497844919448205,42.64295453701085,39.292568278711116,40.1117834863656,41.499083033113024,38.481049150276284,40.26620864868164,False,38.017348174348896,40.04429187128309,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-25,40.30481543391233,42.254283173431354,39.06239927212292,39.687117711197196,41.5387917675604,38.671696056631056,39.72572326660156,False,39.292568278711116,41.499083033113024,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-26,40.38202367399782,41.66462763448355,38.69582520665851,39.416870130425146,41.02502363832775,38.29897839287816,40.34341812133789,False,39.06239927212292,41.5387917675604,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-27,41.07694212502722,41.97068148691472,39.1013650970785,40.53645546310278,40.71880745659476,38.13845800780208,40.65227508544922,False,38.69582520665851,41.02502363832775,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-28,41.269970854175995,42.49124969347707,39.653539207654454,40.18899758300467,42.115265342041646,39.219709013816725,40.30481719970703,False,39.1013650970785,40.71880745659476,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-04-29,40.304818220407874,42.79949256162265,40.10212673884249,39.84154268728141,41.51500894797913,38.75428923432873,39.995967864990234,False,39.653539207654454,42.115265342041646,0,0,0.0,0.0,0.0,0.0,0,0.0
2016-05-03,40.99972342291296,41.680957121230044,38.84799239503837,39.30105545678972,41.15238926823054,38.53633562744735,39.76432800292969,False,40.10212673884249,41.51500894797913,0,0,0.0,0.0,0.0,0.0,0,0.0
